Company,Year,Quarter,Revenue,GrossProfit,StaffExpenditures,EBIT,NetProfit
IVU,2014,Q4,47200,37100,23900,4300,4400
IVU,2015,Q1,9361,7335,6316,-786,-855
IVU,2015,Q2,21458,15674,12720,-914,-1186
IVU,2015,Q3,33453,24173,18130,-66,-721
IVU,2015,Q4,58100,40100,25200,4900,3600
IVU,2016,Q1,9761,7387,7134,-1812,-2419
IVU,2016,Q2,22771,17494,14517,-1586,-2244
IVU,2016,Q3,37292,27398,20613,-1902,-2854
IVU,2016,Q4,59800,42800,28600,1400,-200
IVU,2017,Q1,11572,8945,7380,-679,-920
IVU,2017,Q2,26153,19239,15064,-592,-1085
IVU,2017,Q3,40756,29303,22362,65,-493
IVU,2017,Q4,71100,47700,31200,6100,5000
IVU,2018,Q1,13993,9695,8261,-684,-837
IVU,2018,Q2,29965,20673,16771,-625,-911
IVU,2018,Q3,51932,35317,24772,3149,2731
